# Output Voltage [V], Measured Voltage [V], Measured Voltage Std [V], Frequency [MHz]
0.709441,0.047330,0.000026,134.520000
0.734489,0.049017,0.000034,134.760000
0.759538,0.050759,0.000037,134.810000
0.784586,0.052431,0.000039,135.070000
0.809634,0.054088,0.000039,135.320000
0.834682,0.055810,0.000037,135.570000
0.859730,0.057443,0.000000,135.620000
0.884778,0.059169,0.000026,135.870000
0.909827,0.060881,0.000039,136.120000
0.934875,0.062454,0.000039,136.150000
0.959923,0.064171,0.000034,136.390000
0.984971,0.065898,0.000038,136.650000
1.010019,0.067550,0.000019,136.890000
1.035067,0.069281,0.000000,136.940000
1.060116,0.070924,0.000031,137.180000
1.085164,0.072591,0.000019,137.430000
1.110212,0.074323,0.000026,137.470000
1.135260,0.076030,0.000039,137.730000
1.160308,0.077623,0.000037,137.970000
1.185356,0.079359,0.000037,138.220000
1.210405,0.081046,0.000019,138.260000
1.235453,0.082704,0.000019,138.520000
1.260501,0.084440,0.000019,138.760000
1.285549,0.086211,0.000039,139.000000
1.310597,0.087913,0.000019,139.050000
1.335645,0.089654,0.000026,139.300000
1.360694,0.091371,0.000026,139.550000
1.385742,0.092944,0.000031,139.590000
1.410790,0.094656,0.000039,139.850000
1.435838,0.096368,0.000031,140.100000
1.460886,0.098025,0.000031,140.160000
1.485934,0.099751,0.000019,140.410000
1.510983,0.101414,0.000026,140.670000
1.536031,0.103071,0.000026,140.930000
1.561079,0.104793,0.000019,140.980000
1.586127,0.106554,0.000034,141.230000
1.611175,0.108113,0.000028,141.480000
1.636224,0.109839,0.000026,141.520000
1.661272,0.111566,0.000034,141.780000
1.686320,0.113243,0.000000,142.040000
1.711368,0.114959,0.000034,142.300000
1.736416,0.116602,0.000039,142.350000
1.761464,0.118250,0.000039,142.600000
1.786513,0.119981,0.000038,142.850000
1.811561,0.121693,0.000019,142.890000
1.836609,0.123261,0.000019,143.140000
1.861657,0.124978,0.000046,143.390000
1.886705,0.126739,0.000028,143.650000
1.911753,0.128377,0.000034,143.700000
1.936802,0.130123,0.000026,143.950000
1.961850,0.131765,0.000037,144.200000
1.986898,0.133428,0.000034,144.250000
2.011946,0.135149,0.000039,144.510000
2.036994,0.136856,0.000031,144.760000
2.062042,0.138430,0.000026,145.020000
2.087091,0.140146,0.000038,145.060000
2.112139,0.141863,0.000038,145.310000
2.137187,0.143545,0.000019,145.570000
2.162235,0.145286,0.000000,145.830000
2.187283,0.146944,0.000000,145.870000
2.212331,0.148601,0.000028,146.130000
2.237380,0.150338,0.000028,146.390000
2.262428,0.152049,0.000037,146.440000
2.287476,0.153736,0.000034,146.690000
2.312524,0.155364,0.000037,146.950000
2.337572,0.157086,0.000039,147.000000
2.362620,0.158733,0.000038,147.260000
2.387669,0.160450,0.000026,147.530000
2.412717,0.162092,0.000019,147.780000
2.437765,0.163755,0.000028,147.840000
2.462813,0.165491,0.000000,148.110000
2.487861,0.167228,0.000000,148.380000
2.512909,0.168885,0.000028,148.440000
2.537958,0.170508,0.000039,148.700000
2.563006,0.172239,0.000039,148.960000
2.588054,0.173897,0.000039,149.010000
2.613102,0.175603,0.000026,149.280000
2.638150,0.177256,0.000019,149.530000
2.663198,0.178899,0.000026,149.580000
2.688247,0.180645,0.000028,149.860000
2.713295,0.182376,0.000034,150.120000
2.738343,0.184063,0.000037,150.180000
2.763391,0.185711,0.000031,150.440000
2.788439,0.187432,0.000000,150.700000
2.813487,0.189100,0.000026,150.750000
2.838536,0.190816,0.000026,151.020000
2.863584,0.192439,0.000039,151.280000
2.888632,0.194126,0.000031,151.540000
2.913680,0.195838,0.000039,151.600000
2.938728,0.197579,0.000039,151.860000
2.963776,0.199241,0.000038,152.130000
2.988825,0.200864,0.000031,152.180000
3.013873,0.202586,0.000000,152.440000
3.038921,0.204273,0.000038,152.710000
3.063969,0.205985,0.000019,152.760000
3.089017,0.207642,0.000019,153.030000
3.114066,0.209334,0.000039,153.290000
3.139114,0.211031,0.000028,153.350000
3.164162,0.212762,0.000034,153.620000
3.189210,0.214430,0.000019,153.890000
3.214258,0.216033,0.000038,153.950000
3.239306,0.217754,0.000031,154.210000
3.264355,0.219451,0.000037,154.480000
3.289403,0.221143,0.000026,154.530000
3.314451,0.222786,0.000034,154.800000
3.339499,0.224438,0.000026,155.060000
3.364547,0.226160,0.000037,155.120000
3.389595,0.227901,0.000034,155.390000
3.414644,0.229564,0.000031,155.660000
3.439692,0.231201,0.000039,155.910000
3.464740,0.232947,0.000037,155.970000
3.489788,0.234605,0.000037,156.240000
3.514836,0.236302,0.000031,156.510000
3.539884,0.238013,0.000026,156.560000
3.564933,0.239617,0.000031,156.830000
3.589981,0.241323,0.000031,157.090000
3.615029,0.242991,0.000019,157.140000
3.640077,0.244678,0.000037,157.410000
3.665125,0.246315,0.000034,157.670000
3.690173,0.248042,0.000019,157.720000
3.715222,0.249709,0.000034,157.990000
3.740270,0.251411,0.000038,158.250000
3.765318,0.253128,0.000038,158.300000
3.790366,0.254701,0.000037,158.570000
3.815414,0.256438,0.000037,158.830000
3.840462,0.258149,0.000039,158.880000
3.865511,0.259812,0.000034,159.140000
3.890559,0.261474,0.000026,159.410000
3.915607,0.263200,0.000000,159.470000
3.940655,0.264863,0.000034,159.740000
3.965703,0.266574,0.000034,160.010000
3.990751,0.268321,0.000026,160.070000
4.015800,0.269894,0.000031,160.330000
4.040848,0.271631,0.000031,160.600000
4.065896,0.273362,0.000034,160.660000
4.090944,0.275029,0.000026,160.930000
4.115992,0.276672,0.000037,161.190000
4.141040,0.278359,0.000019,161.250000
4.166089,0.280016,0.000019,161.520000
4.191137,0.281748,0.000028,161.780000
4.216185,0.283484,0.000000,162.050000
4.241233,0.285063,0.000048,162.110000
4.266281,0.286794,0.000019,162.370000
4.291329,0.288550,0.000031,162.640000
4.316378,0.290213,0.000034,162.700000
4.341426,0.291840,0.000026,162.970000
4.366474,0.293577,0.000026,163.230000
4.391522,0.295234,0.000026,163.280000
4.416570,0.296931,0.000038,163.550000
4.441618,0.298653,0.000031,163.820000
4.466667,0.300236,0.000034,163.880000
4.491715,0.301958,0.000034,164.140000
4.516763,0.303659,0.000038,164.410000
4.541811,0.305351,0.000034,164.460000
4.566859,0.307088,0.000019,164.730000
4.591908,0.308725,0.000031,164.990000
4.616956,0.310398,0.000000,165.040000
4.642004,0.312134,0.000028,165.310000
4.667052,0.313831,0.000039,165.580000
4.692100,0.315424,0.000037,165.630000
4.717148,0.317136,0.000038,165.890000
4.742197,0.318843,0.000000,166.160000
4.767245,0.320540,0.000039,166.220000
4.792293,0.322246,0.000026,166.490000
4.817341,0.323859,0.000039,166.750000
4.842389,0.325541,0.000038,166.810000
4.867437,0.327268,0.000034,167.070000
4.892486,0.329004,0.000034,167.340000
4.917534,0.330602,0.000000,167.400000
4.942582,0.332319,0.000034,167.650000
4.967630,0.333996,0.000000,167.920000
4.992678,0.335678,0.000037,167.980000
5.017726,0.337410,0.000034,168.240000
5.042775,0.339052,0.000019,168.500000
5.067823,0.340730,0.000037,168.760000
5.092871,0.342436,0.000034,168.820000
5.117919,0.344153,0.000037,169.090000
5.142967,0.345751,0.000019,169.340000
5.168015,0.347473,0.000034,169.400000
5.193064,0.349179,0.000038,169.670000
5.218112,0.350862,0.000037,169.940000
5.243160,0.352573,0.000038,170.000000
5.268208,0.354206,0.000019,170.250000
5.293256,0.355863,0.000019,170.510000
5.318304,0.357565,0.000038,170.570000
5.343353,0.359302,0.000038,170.840000
5.368401,0.360890,0.000044,171.090000
5.393449,0.362612,0.000039,171.140000
5.418497,0.364368,0.000031,171.400000
5.443545,0.366050,0.000026,171.670000
5.468593,0.367761,0.000031,171.720000
5.493642,0.369384,0.000038,171.980000
5.518690,0.371091,0.000028,172.230000
5.543738,0.372768,0.000044,172.290000
5.568786,0.374490,0.000019,172.550000
5.593834,0.376058,0.000034,172.800000
5.618882,0.377780,0.000044,172.850000
5.643931,0.379531,0.000019,173.110000
