# Voltage [V], Frequency [MHz]
7.111000, 134.950000
7.283000, 134.950000
7.365000, 135.760000
7.491000, 137.210000
7.622000, 138.160000
7.829000, 140.850000
8.162000, 140.850000
8.360000, 142.500000
8.512000, 144.910000
8.639000, 146.400000
8.725000, 146.400000
8.779000, 147.470000
8.894000, 148.130000
8.994000, 149.080000
9.103000, 150.760000
9.221000, 150.760000
9.354000, 151.390000
9.514000, 152.750000
9.611000, 154.770000
9.723000, 154.770000
9.837000, 155.400000
9.967000, 156.550000
10.118000, 157.930000
10.248000, 157.930000
10.301000, 159.220000
10.320000, 160.090000
10.312000, 160.280000
10.323000, 160.280000
10.306000, 160.280000
10.319000, 160.280000
10.306000, 160.280000
10.322000, 160.290000
10.307000, 160.290000
10.290000, 160.250000
10.273000, 160.130000
10.236000, 159.940000
10.094000, 159.940000
9.923000, 159.110000
9.826000, 157.450000
9.678000, 156.290000
9.508000, 156.290000
9.385000, 154.640000
9.262000, 153.190000
9.120000, 151.890000
8.958000, 150.410000
8.833000, 150.410000
8.672000, 148.950000
8.506000, 147.450000
8.339000, 145.770000
8.141000, 145.770000
7.977000, 144.000000
7.701000, 142.130000
7.502000, 139.830000
7.261000, 136.370000
7.085000, 136.370000
6.997000, 135.380000
7.004000, 134.430000
6.998000, 134.370000
7.004000, 134.370000
6.992000, 134.360000
7.058000, 134.380000
7.301000, 135.260000
7.394000, 135.260000
7.575000, 137.190000
7.812000, 138.470000
8.138000, 140.670000
8.315000, 143.580000
8.425000, 143.580000
8.540000, 144.980000
8.690000, 146.260000
8.754000, 147.550000
8.859000, 147.550000
9.002000, 148.340000
9.157000, 149.700000
9.481000, 151.430000
9.749000, 154.490000
9.981000, 154.490000
10.152000, 156.970000
10.267000, 158.890000
10.308000, 159.960000
10.310000, 159.960000
10.315000, 160.250000
10.313000, 160.280000
10.310000, 160.280000
10.313000, 160.280000
10.313000, 160.280000
10.307000, 160.280000
10.258000, 160.130000
10.062000, 159.410000
10.012000, 159.410000
9.920000, 157.970000
9.780000, 157.150000
9.692000, 155.860000
9.597000, 155.860000
9.462000, 154.880000
9.271000, 153.530000
9.151000, 151.840000
9.034000, 151.840000
8.909000, 150.490000
8.707000, 149.270000
8.560000, 147.320000
8.410000, 147.320000
8.289000, 145.820000
8.217000, 144.430000
8.057000, 143.660000
7.933000, 141.430000
7.830000, 141.430000
7.713000, 141.010000
7.621000, 139.860000
7.482000, 138.730000
7.339000, 138.730000
7.160000, 137.320000
7.071000, 135.930000
7.003000, 134.870000
6.999000, 134.870000
6.988000, 134.400000
7.002000, 134.370000
6.991000, 134.360000
7.010000, 134.370000
7.004000, 134.370000
7.036000, 134.430000
7.194000, 134.640000
7.308000, 135.700000
7.366000, 135.700000
7.492000, 136.840000
7.648000, 137.950000
7.814000, 139.340000
7.987000, 141.100000
8.088000, 141.100000
8.276000, 142.360000
8.440000, 144.000000
8.520000, 145.580000
8.625000, 145.580000
8.771000, 146.480000
8.847000, 147.920000
8.975000, 148.860000
9.174000, 148.860000
9.347000, 150.450000
9.472000, 152.400000
9.632000, 153.800000
9.746000, 153.800000
9.733000, 155.420000
9.977000, 155.800000
10.226000, 157.660000
10.314000, 159.900000
10.313000, 159.900000
10.315000, 160.270000
10.313000, 160.280000
10.316000, 160.280000
10.321000, 160.280000
10.316000, 160.280000
10.313000, 160.280000
10.299000, 160.280000
10.307000, 160.280000
10.273000, 160.210000
10.239000, 160.020000
10.084000, 159.430000
10.078000, 158.340000
9.921000, 158.340000
9.888000, 158.420000
9.550000, 156.780000
9.423000, 154.060000
9.186000, 154.060000
9.032000, 152.250000
8.861000, 150.340000
8.720000, 148.730000
8.433000, 148.730000
8.219000, 146.780000
8.077000, 144.150000
8.000000, 142.730000
7.922000, 141.950000
7.889000, 141.950000
7.713000, 141.270000
7.571000, 140.080000
7.468000, 138.730000
7.345000, 138.730000
7.200000, 137.560000
7.157000, 136.260000
7.044000, 135.410000
7.005000, 134.370000
6.992000, 134.370000
6.999000, 134.360000
6.995000, 134.360000
7.011000, 134.360000
7.005000, 134.360000
6.989000, 134.420000
7.003000, 134.370000
7.023000, 134.410000
7.067000, 134.410000
7.158000, 134.750000
7.279000, 135.500000
7.347000, 136.440000
7.455000, 136.440000
7.587000, 137.330000
7.723000, 138.600000
7.861000, 139.950000
8.042000, 141.530000
8.166000, 141.530000
8.322000, 143.100000
8.474000, 144.510000
8.576000, 146.040000
8.645000, 146.040000
8.793000, 146.860000
8.914000, 148.080000
9.014000, 149.380000
9.039000, 149.380000
9.304000, 150.130000
9.441000, 151.840000
9.532000, 153.380000
